"REGION2016","NSCHID","RegionId","SCHOOL","COMMUNITY","ADDRESS1","ADDRESS2","ADDRESS3","POSTCODE","PHONE","FAX","NSCHID_A","YEAR","K","ONE","TWO","THREE","FOUR","FIVE","SIX","SEVEN","EIGHT","NINE","TEN","ELEVEN","TWELVE","FOURTH","TOTAL","GIVEN","PRINCIPAL","EMAIL","DISTRICT"
"Central","204","300","Pearson Academy","Wesleyville","Box 100","Wesleyville, NL","A0G 4R0","A0G4R0","536-2254","536-2185","204","2016","12","14","19","19","12","16","32","23","23","16","26","32","38","0","282","Heidi","Heidi Williams","heidiwilliams@nlesd.ca","NLESD - Central Region"
"Central","206","300","Riverwood Academy","Wing's Point","General Delivery","Wing's Point, NL","A0G 4T0","A0G4T0","676-2009","676-2382","206","2016","18","14","15","16","16","23","15","21","28","15","25","31","21","2","260","Jonathan","Jonathan Williiams","jonathanwilliams@nlesd.ca","NLESD - Central Region"
"Central","213","300","Lake Academy","Fortune","P.O. Box 8, Forest Road","Fortune, NL","A0E 1P0","A0E1P0","832-2100","832-0044","213","2016","30","26","34","25","31","29","30","31","0","0","0","0","0","0","236","Cheryl","Cheryl Burt","cherylburt@nlesd.ca","NLESD - Central Region"
"Central","218","300","St. Joseph's Academy","Lamaline","Box 70","Lamaline, NL","A0E 2C0","A0E2C0","857-2790","857-2036","218","2016","5","7","4","11","8","3","5","5","11","3","6","6","7","0","81","Tracy","Tracy Blagdon","tracyblagdon@nlesd.ca","NLESD - Central Region"
"Central","220","300","Sacred Heart Academy","Marystown","P.O. Box 79","Marystown, NL","A0E 2M0","A0E2M0","279-2051","279-4351","220","2016","44","54","66","72","68","58","60","74","0","0","0","0","0","0","496","Cynthia","Cynthia Pope","cynthiapope@nlesd.ca","NLESD - Central Region"
"Central","223","300","Christ the King School","Rushoon","General Delivery","Rushoon, NL","A0E 2S0","A0E2S0","443-2293","443-2323","223","2016","7","6","10","3","8","4","6","11","10","8","11","8","15","0","107","Aaron","Aaron Murphy","aaronmurphy@nlesd.ca","NLESD - Central Region"
"Central","224","300","Donald C. Jamieson Academy","Burin Bay Arm","P.O.Box 160","Burin Bay Arm, NL","A0E 1G0","A0E1G0","891-1431","891-1814","224","2016","34","42","42","35","39","47","55","50","0","0","0","0","0","0","344","Leo","Leo Hynes","leohynes@nlesd.ca","NLESD - Central Region"
"Central","225","300","St. Anne's School","South East Bight","General Delivery","South East Bight, NL","A0E 3B0","A0E3B0","428-3561","428-3114","225","2016","3","1","1","3","3","0","0","1","1","1","1","0","0","0","15","Elena","Elena Whyte","elenawhyte@nlesd.ca","NLESD - Central Region"
"Central","226","300","Fortune Bay Academy","St. Bernard's - Jacques Fontaine","P.O. Box 129","St. Bernard's - Jacques Font","A0E 2T0","A0E2T0","461-2225","461-2749","226","2016","7","8","4","3","7","7","2","7","10","7","7","14","8","0","91","George","George Sheppard","georgesheppard@nlesd.ca","NLESD - Central Region"
"Central","228","300","St. Lawrence Academy","St. Lawrence","P.O. Box 336","St. Lawrence, NL","A0E 2V0","A0E2V0","873-2660","873-2711","228","2016","8","13","14","8","14","16","12","13","12","14","11","10","18","0","163","Dawn","Dawn Brushett","dawnbrushett@nlesd.ca","NLESD - Central Region"
"Central","229","300","St. Joseph's All Grade","Terrenceville","P.O. Box 70","Terrenceville, NL","A0E 2X0","A0E2X0","662-2201","662-2008","229","2016","9","4","8","7","7","11","4","7","14","6","10","11","10","0","108","Luke","Luke Neville","lukeneville@nlesd.ca","NLESD - Central Region"
"Central","232","300","Matthew Elementary School","Bonavista","Box 640","Bonavista, NL","A0C 1B0","A0C1B0","468-7242","468-1137","232","2016","30","34","28","35","35","48","28","0","0","0","0","0","0","0","238","Leigh-Ann","Leigh-Ann Ryder","leigh-annryder@nlesd.ca","NLESD - Central Region"
"Central","234","300","Catalina Elementary School","Catalina","Box 250","Catalina, NL","A0C 1J0","A0C1J0","469-2265","469-2515","234","2016","12","10","14","11","10","11","12","10","14","0","0","0","0","0","104","Kim","Kim Lodge","kimberlylodge@nlesd.ca","NLESD - Central Region"
"Central","237","300","Anthony Paddon Elementary","Musgravetown","Box 8","Musgravetown, NL","A0C 1Z0","A0C1Z0","467-2785","467-4357","237","2016","38","31","25","22","18","33","28","0","0","0","0","0","0","0","195","Janice","Janice Harnum","janiceharnum@nlesd.ca","NLESD - Central Region"
"Central","240","300","Bishop White School","Port Rexton","P.O. Box 70","Port Rexton, NL","A0C 2H0","A0C2H0","464-3501","464-3243","240","2016","7","10","10","4","6","11","5","8","8","7","9","9","9","0","103","Stephanie","Stephanie Gould","stephaniegould@nlesd.ca","NLESD - Central Region"
"Central","242","300","Random Island Academy","Hickman's Harbour","P.O. Box 138","Hickman's Harbour, NL","A0C 1P0","A0C1P0","547-2379","547-2549","242","2016","8","11","0","10","4","10","6","11","12","9","16","6","13","0","116","Curtis","Curtis Blackmore","curtisblackmore@nlesd.ca","NLESD - Central Region"
"Central","243","300","Riverside Elementary","Shoal Harbour","22 Thomas Pl.","Clarenville, NL","A5A 4P3","A5A4P3","466-7552","466-7592","243","2016","92","111","109","109","108","97","102","0","0","0","0","0","0","0","728","Peter","Peter Hackett","peterhackett@nlesd.ca","NLESD - Central Region"
"Central","246","300","Swift Current Academy","Swift Current","P. O. Box 40","Swift Current, NL","A0E 2W0","A0E2W0","549-2377","549-2109","246","2016","2","5","0","8","0","0","1","0","2","2","0","5","3","0","28","Tanya","Tanya Harris","tanyaharris@nlesd.ca","NLESD - Central Region"
"Central","398","300","Avoca Collegiate","Badger","Box 190","Badger, NL","A0H 1A0","A0H1A0","539-2466","539-2497","398","2016","8","4","12","6","8","9","5","9","9","9","0","0","0","0","79","Asher","Asher Cutting","ashercutting@nlesd.ca","NLESD - Central Region"
"Central","400","300","Helen Tulk Elementary","Bishop's Falls","Box 130, 1 Forest Road","Bishop's Falls, NL","A0H 1C0","A0H1C0","258-6472","258-6487","400","2016","28","32","25","29","24","29","35","0","0","0","0","0","0","0","202","David","David Alcock","davidalcock@nlesd.ca","NLESD - Central Region"
"Central","403","300","Lakeside Academy","Buchans","P.O. Box 130","Buchans, NL","A0H 1G0","A0H1G0","672-3985","672-3669","403","2016","7","5","5","5","7","2","9","4","8","6","6","8","12","3","87","Barbara","Barbara Rideout","barbararideout@nlesd.ca","NLESD - Central Region"
"Central","405","300","Cottrell's Cove Academy","Cottrell's Cove","Box 96","Cottrell's Cove, NL","A0H 1L0","A0H1L0","485-2410","485-2806","405","2016","0","1","3","0","3","0","4","1","2","1","2","2","1","0","20","Chad","Chad Horne","chadhorne@nlesd.ca","NLESD - Central Region"
"Central","406","300","Fitzgerald Academy","English Harbour West","P.O. Box 70","English Harbour West, NL","A0H 1M0","A0H1M0","888-3426","888-3428","406","2016","15","18","10","13","13","16","14","10","11","7","12","16","8","1","164","Krista","Krista Baker","kristabaker@nlesd.ca","NLESD - Central Region"
"Central","407","300","Bay d'Espoir Academy","Milltown","P.O. Box 190","Milltown, NL","A0H 1W0","A0H1W0","882-2500","882-2302","407","2016","13","7","15","17","30","14","18","18","21","26","16","29","16","2","242","Connie","Connie Willcott","conniewillcott@nlesd.ca","NLESD - Central Region"
"Central","413","300","Holy Cross School Complex","Eastport","Box 138","Eastport, NL","A0G 1Z0","A0G1Z0","677-2120","677-2378","413","2016","8","6","11","7","9","5","10","10","9","11","10","7","7","0","110","Mary Jane","Mary Jane Oldford","maryjaneoldford@nlesd.ca","NLESD - Central Region"
"Central","414","300","Fogo Island Central Academy","Fogo Island","General Delivery","Fogo Island, NL","A0G 2B0","A0G2B0","266-2560","266-2384","414","2016","15","24","22","20","28","25","21","24","23","22","15","20","23","0","282","Jeffrey","Jeffrey Neil","jeffreyneil@nlesd.ca","NLESD - Central Region"
"Central","416","300","Smallwood Academy","Gambo","Box 400","Gambo, NL","A0G 1T0","A0G1T0","674-5336","674-4244","416","2016","12","15","12","15","9","18","18","15","15","18","26","18","24","2","217","Collett","Collett Kelly","collettkelly@nlesd.ca","NLESD - Central Region"
"Central","417","300","Gander Academy","Gander","Fraser Road","Gander, NL","A1V 1K8","A1V1K8","256-8531","256-8551","417","2016","139","124","133","142","137","133","127","0","0","0","0","0","0","0","935","Duane","Duane Smith","duanesmith@nlesd.ca","NLESD - Central Region"
"Central","421","300","Lakewood Academy","Glenwood","P.O. Box 10","Glenwood, NL","A0G 2K0","A0G2K0","679-2162","679-5627","421","2016","7","11","18","17","14","11","15","26","16","19","17","24","6","0","201","Cathy","Cathy Rowe","cathyrowe@nlesd.ca","NLESD - Central Region"
"Central","422","300","Glovertown Academy","Glovertown","P.O. Box 100","Glovertown, NL","A0G 2L0","A0G2L0","533-2443","533-1136","422","2016","16","18","27","31","27","19","26","25","26","27","31","38","23","2","336","Cheryl","Cheryl Gordon","cherylgordon@nlesd.ca","NLESD - Central Region"
"Central","426","300","Hillview Academy","Norris Arm","P. O. Box 10","Norris Arm South, NL","A0G 3M0","A0G3M0","653-2529","653-2579","426","2016","13","13","8","7","6","5","6","12","13","11","0","0","0","0","94","Peter","Peter Wheeler","peterwheeler@nlesd.ca","NLESD - Central Region"
"Central","427","300","Holy Name of Mary Academy","Lawn","Box 39","Lawn, NL","A0E 2E0","A0E2E0","873-2069","873-2033","427","2016","4","9","5","9","5","7","3","11","8","8","7","5","6","0","87","Mario","Mario Jarvis","mariojarvis@nlesd.ca","NLESD - Central Region"
"Central","430","300","St. Mark's School","King's Cove","P.O. Box 84","King's Cove, NL","A0C 1S0","A0C1S0","447-6211","447-2126","430","2016","2","2","5","2","4","1","3","6","3","4","8","11","7","0","58","Stewart","Stewart Churchill","stewartchurchill@nlesd.ca","NLESD - Central Region"
"Central","431","300","Southwest Arm Academy","Little Heart's Ease","Box 40","Little Heart's Ease, NL","A0E 2K0","A0E2K0","548-2363","548-2484","431","2016","9","7","7","9","10","7","8","9","2","10","6","7","3","0","94","Leon","Leon Porter","leonporter@nlesd.ca","NLESD - Central Region"
"Central","478","300","New World Island Academy","Summerford","Box 130","Summerford, NL","A0G 4E0","A0G4E0","629-3241","629-7447","478","2016","24","27","21","25","24","33","20","20","36","29","19","25","40","0","343","Carolyn","Carolyn Clarke","carolynclarke@nlesd.ca","NLESD - Central Region"
"Central","494","300","Forest Park Primary","Grand Falls-Windsor","28 Price's Ave.","Grand Falls-Windsor, NL","A2B 1C9","A2B1C9","489-2171","489-2842","494","2016","58","82","79","80","0","0","0","0","0","0","0","0","0","0","299","Jeff","Jeff Power","jeffreypower@nlesd.ca","NLESD - Central Region"
"Central","924","300","Tricentia Academy","Arnold's Cove","Box 129","Arnold's Cove, NL","A0B 1A0","A0B1A0","463-2283","463-2193","924","2016","9","13","21","17","13","14","13","13","20","17","23","23","28","0","224","Russell","Russell Peddle","russpeddle@nlesd.ca","NLESD - Central Region"
"Eastern","248","400","Amalgamated Academy","Bay Roberts","P.O. Box 460","Bay Roberts, NL","A0A 1G0","A0A1G0","786-0280","786-1243","248","2016","0","0","0","0","88","93","91","158","138","147","0","0","0","0","715","Paul","Paul Brown","paulbrown@nlesd.ca","NLESD - Eastern Region"
"Eastern","258","400","Holy Family Elementary","Chapel Arm","General Delivery","Chapel Arm, NL","A0B 1L0","A0B1L0","592-2341","592-2033","258","2016","8","15","10","16","12","20","11","0","0","0","0","0","0","0","92","Susan","Susan George","susangeorge@nlesd.ca","NLESD - Eastern Region"
"Eastern","259","400","Coley's Point Primary","Coley's Point","P.O. Box 509","Bay Roberts, NL","A0A 1G0","A0A1G0","786-9052","786-2048","259","2016","75","80","93","97","0","0","0","0","0","0","0","0","0","0","345","Blair","Blair Hurley","blairhurley@nlesd.ca","NLESD - Eastern Region"
"Eastern","260","400","Immaculate Conception Elementary","Colliers","P. O. Box 40","Colliers, NL","A0A 1Y0","A0A1Y0","229-4664","229-1025","260","2016","19","19","19","19","18","19","19","0","0","0","0","0","0","0","132","Todd","Todd Crane","toddcrane@nlesd.ca","NLESD - Eastern Region"
"Eastern","262","400","Woodland Elementary","Dildo","P.O. Box 40","Dildo, NL","A0B 1P0","A0B1P0","582-2310","582-3082","262","2016","23","23","24","38","19","36","19","0","0","0","0","0","0","0","182","Lorraine","Lorraine Harnum","lorraineharnum@nlesd.ca","NLESD - Eastern Region"
"Eastern","265","400","Acreman Elementary","Green's Harbour","P. O. Box 9","Green's Harbour, NL","A0B 1X0","A0B1X0","582-2448","582-2551","265","2016","30","19","24","25","17","23","23","0","0","0","0","0","0","0","161","Patricia","Patricia Collins-Yetman","patriciacollinsyetman@nlesd.ca","NLESD - Eastern Region"
"Eastern","269","400","St. Francis School","Harbour Grace","Box 460","Harbour Grace, NL","A0A 2M0","A0A2M0","596-3452","596-2154","269","2016","20","29","27","40","26","34","38","38","31","0","0","0","0","0","283","Gary","Gary Barrett","garybarrett@nlesd.ca","NLESD - Eastern Region"
"Eastern","272","400","Holy Cross Elementary","Holyrood","P.O. Box 280","Holyrood, NL","A0A 2R0","A0A2R0","229-3939","229-7266","272","2016","34","42","34","39","36","40","35","0","0","0","0","0","0","0","260","Robin","Robin McGrath","robinmcgrath@nlesd.ca","NLESD - Eastern Region"
"Eastern","274","400","St. Catherine's Academy","Mount Carmel","P.O. Box 150","Mount Carmel, NL","A0B 2M0","A0B2M0","521-2090","521-2638","274","2016","3","2","1","6","6","10","0","7","14","9","13","12","6","1","90","Heather","Heather Hanlon","heatherhanlon@nlesd.ca","NLESD - Eastern Region"
"Eastern","278","400","All Hallows Elementary","North River","General Delivery","North River, NL","A0A 3C0","A0A3C0","786-3691","786-3695","278","2016","37","47","54","57","54","53","54","0","0","0","0","0","0","0","356","Kevin","Kevin Giles","kevingiles@nlesd.ca","NLESD - Eastern Region"
"Eastern","285","400","Holy Redeemer Elementary","Spaniard's Bay","Box 40","Spaniard's Bay, NL","A0A 3X0","A0A3X0","786-9056","786-6017","285","2016","27","35","26","38","34","19","27","27","22","26","0","0","0","0","281","Catherine","Catherine Downey","catherinedowney@nlesd.ca","NLESD - Eastern Region"
"Eastern","286","400","Fatima Academy","St. Bride's","General Delivery","St. Bride's, NL","A0B 2Z0","A0B2Z0","337-2500","337-2042","286","2016","3","2","3","2","7","6","6","3","5","7","2","9","9","0","64","Darlene","Darlene Walsh","darlenewalsh@nlesd.ca","NLESD - Eastern Region"
"Eastern","287","400","Dunne Memorial Academy","St. Mary's","P.O. Box 349","St. Mary's, NL","A0B 3B0","A0B3B0","525-2330","525-2777","287","2016","6","5","4","6","4","2","7","5","10","11","7","5","8","1","81","Arlene","Arlene Fagan","arlenefagan@nlesd.ca","NLESD - Eastern Region"
"Eastern","289","400","St. Peter's Elementary","Upper Island Cove","P.O. Box 100","Upper Island Cove, NL","A0A 4E0","A0A4E0","589-2464","589-2210","289","2016","13","16","25","26","15","24","19","25","24","25","0","0","0","0","212","John","John Drover","johndrover@nlesd.ca","NLESD - Eastern Region"
"Eastern","291","400","Perlwin Elementary","Winterton","P.O. Box 130","Winterton, NL","A0B 3M0","A0B3M0","583-2810","583-2818","291","2016","3","10","7","2","9","10","16","0","0","0","0","0","0","0","57","Roger","Roger Green","rogergreen@nlesd.ca","NLESD - Eastern Region"
"Eastern","294","400","St. Augustine's Elementary","Bell Island","P.O. Box 820","Bell Island, NL","A0A 4H0","A0A4H0","488-3349","488-2355","294","2016","16","23","25","29","30","21","18","0","0","0","0","0","0","0","162","Reginald","Reginald Durdle","regdurdle@nlesd.ca","NLESD - Eastern Region"
"Eastern","303","400","St. Edward's Elementary","Conception Bay South (Kelligrews)","P.O. Box 17043","Stn. Kelligrews, CBS,  NL","A1X 3H1","A1X3H1","834-4421","834-1855","303","2016","99","77","114","129","114","111","108","0","0","0","0","0","0","0","752","Lorraine","Lorraine Williams","lorrainewilliams@nlesd.ca","NLESD - Eastern Region"
"Eastern","305","400","Villanova Junior High","Conception Bay South (Manuels)","2698 Topsail Road","CBS, NL","A1W 4B1","A1W4B1","834-3916","834-4064","305","2016","0","0","0","0","0","109","125","189","203","0","0","0","0","0","626","Barry","Barry Jenkins","barryjenkins@nlesd.ca","NLESD - Eastern Region"
"Eastern","306","400","St. George's Elementary","Conception Bay South (Manuels)","P.O. Box 14092","Manuels, CBS, NL","A1W 3J1","A1W3J1","834-2069","834-6645","306","2016","41","53","42","45","45","34","51","0","0","0","0","0","0","0","311","Paul","Paul Edwards","pauledwards@nlesd.ca","NLESD - Eastern Region"
"Eastern","308","400","Mary Queen of the World Elementary","Mount Pearl","791 Topsail Road","Mount Pearl, NL","A1N 3J6","A1N3J6","368-0710","368-2242","308","2016","55","50","60","68","51","59","57","0","0","0","0","0","0","0","400","Chris","Chris Bartlett","ChrisBartlett@nlesd.ca","NLESD - Eastern Region"
"Eastern","309","400","Morris Academy","Mount Pearl","52 Roosevelt Avenue","Mount Pearl, NL","A1N 1Z8","A1N1Z8","368-2121","368-0204","309","2016","40","46","42","50","59","40","0","0","0","0","0","0","0","0","277","Sandra","Sandra Humphries","sandrahumphries@nlesd.ca","NLESD - Eastern Region"
"Eastern","310","400","Mount Pearl Intermediate","Mount Pearl","56 Ruth Avenue","Mount Pearl, NL","A1N 2H5","A1N2H5","364-1423","364-1871","310","2016","0","0","0","0","0","0","45","246","219","0","0","0","0","0","510","Della","Della Healey","dellahealey@nlesd.ca","NLESD - Eastern Region"
"Eastern","312","400","Newtown Elementary","Mount Pearl","25 Jackman Drive","Mount Pearl, NL","A1N 2P5","A1N2P5","368-0116","368-0605","312","2016","0","0","0","0","148","164","153","0","0","0","0","0","0","0","465","Vikki","Vikki Anstey","vikkianstey@nlesd.ca","NLESD - Eastern Region"
"Eastern","316","400","St. Peter's Primary","Mount Pearl","108 Ashford Dr.","Mount Pearl, NL","A1N 3L6","A1N3L6","368-7002","364-1533","316","2016","161","177","181","173","0","0","0","0","0","0","0","0","0","0","692","Sherry","Sherry Cheema","sherrycheema@nlesd.ca","NLESD - Eastern Region"
"Eastern","317","400","St. Francis of Assisi Elementary","Logy Bay/Middle Cove/Outer Cove","29 Outercove Road","Outer Cove, NL","A1K 4E7","A1K4E7","437-6663","437-1010","317","2016","35","34","36","33","19","41","24","0","0","0","0","0","0","0","222","Janette","Janette Kelly","janettekelly@nlesd.ca","NLESD - Eastern Region"
"Eastern","318","400","Holy Family Elementary","Paradise","67 St. Thomas Line","Paradise, NL","A1L 2P5","A1L2P5","781-1440","781-1444","318","2016","71","74","80","76","64","52","52","0","0","0","0","0","0","0","469","Sheryl","Sheryl Ryan","sherylryan@nlesd.ca","NLESD - Eastern Region"
"Eastern","320","400","Beachy Cove Elementary","Portugal Cove - St. Philip's","P.O. Box 578","Portugal Cove, NL","A1M 3R6","A1M3R6","895-2241","895-2767","320","2016","101","125","98","122","88","107","129","0","0","0","0","0","0","0","770","Aubrey","Aubrey Dawe","aubreydawe@nlesd.ca","NLESD - Eastern Region"
"Eastern","325","400","Bishop Abraham Elementary","St. John's","196 Pennywell Rd.","St. John's, NL","A1C 2L6","A1C2L6","579-9071","579-0090","325","2016","24","34","32","33","29","36","40","0","0","0","0","0","0","0","228","Laura","Laura Butland","laurabutland@nlesd.ca","NLESD - Eastern Region"
"Eastern","326","400","Bishop Feild Elementary","St. John's","44 Bond Street","St. John's, NL","A1C 1S6","A1C1S6","722-3103","722-1058","326","2016","44","45","39","48","45","51","36","0","0","0","0","0","0","0","308","Laurie","Laurie Andrews","laurieandrews@nlesd.ca","NLESD - Eastern Region"
"Eastern","331","400","Cowan Heights Elementary","St. John's","104 Canada Drive","St. John's, NL","A1E 2M8","A1E2M8","745-1700","745-2694","331","2016","42","52","52","48","39","46","46","46","0","0","0","0","0","0","371","Denise","Denise Coady","denisecoady@nlesd.ca","NLESD - Eastern Region"
"Eastern","334","400","Larkhall Academy","St. John's","16 Larkhall St","St. John's, NL","A1B 2C3","A1B2C3","722-7012","722-0153","334","2016","75","68","66","61","58","54","52","0","0","0","0","0","0","0","434","Elsie","Elsie Colbourne","elsiecolbourne@nlesd.ca","NLESD - Eastern Region"
"Eastern","337","400","Goulds Elementary","St. John's (Goulds)","Box 6, 46 Doyles Road","Goulds, NL","A1S 1A1","A1S1A1","368-8351","368-6966","337","2016","83","72","92","102","95","90","0","0","0","0","0","0","0","0","534","Jamie","Jamie Kieley","jameskieley@nlesd.ca","NLESD - Eastern Region"
"Eastern","342","400","MacDonald Drive Elementary","St. John's","150 Macdonald Drive","St. John's, NL","A1A 2K9","A1A2K9","753-6020","753-3809","342","2016","59","63","74","65","80","92","75","0","0","0","0","0","0","0","508","Matthew","Matthew Smith","matthewsmith@nlesd.ca","NLESD - Eastern Region"
"Eastern","345","400","Mary Queen of Peace Elementary","St. John's","137 Torbay Road","St. John's, NL","A1A 2G9","A1A2G9","753-7950","753-4973","345","2016","90","86","102","109","104","84","111","0","0","0","0","0","0","0","686","Kim","Kim Leonard","kimberlyleonard@nlesd.ca","NLESD - Eastern Region"
"Eastern","348","400","Roncalli Elementary","St. John's","130 Airport Hgts Dr","St. John's, NL","A1A 4Z7","A1A4Z7","576-4731","576-0087","348","2016","73","72","59","73","60","69","54","0","0","0","0","0","0","0","460","Craig","Craig Tremblett","craigtremblett@nlesd.ca","NLESD - Eastern Region"
"Eastern","349","400","St. Andrew's Elementary","St. John's","141 University Ave","St. John's, NL","A1B 1Z4","A1B1Z4","726-3682","726-1012","349","2016","19","27","30","28","37","24","30","0","0","0","0","0","0","0","195","Bonneta","Bonneta Oakley","bonnetaoakley@nlesd.ca","NLESD - Eastern Region"
"Eastern","350","400","St. John Bosco School","St. John's","P.O. Box 150, Shea Heights","St. John's, NL","A0A 1J0","A0A1J0","753-8850","753-7870","350","2016","17","19","20","21","19","22","29","12","19","24","0","0","0","0","202","Linda","Linda Hart","lindahart@nlesd.ca","NLESD - Eastern Region"
"Eastern","353","400","St. Kevin's Junior High","St. John's (Goulds)","P.O. Box 700","Goulds, NL","A1S 1G7","A1S1G7","745-8980","745-1151","353","2016","0","0","0","0","0","0","86","87","109","0","0","0","0","0","282","Yvonne","Yvonne Barry","yvonnebarry@nlesd.ca","NLESD - Eastern Region"
"Eastern","355","400","St. Mary's Elementary","St. John's","124 Waterford Bridge Rd","St. John's, NL","A1E 1C9","A1E1C9","753-9892","753-9220","355","2016","21","31","27","22","25","27","22","0","0","0","0","0","0","0","175","Sharon","Sharon Collett","sharoncollett@nlesd.ca","NLESD - Eastern Region"
"Eastern","356","400","St. Matthews Elementary","St. John's","115 Cowan Avenue","St. John's, NL","A1E 3W4","A1E3W4","745-1513","745-3618","356","2016","59","57","55","57","52","53","56","57","0","0","0","0","0","0","446","Sharon","Sharon Vivian","sharonvivian@nlesd.ca","NLESD - Eastern Region"
"Eastern","360","400","Rennie's River Elementary School","St. John's","150 Elizabeth Avenue","St. John's, NL","A1B 1S4","A1B1S4","754-2690","754-4737","360","2016","41","32","39","40","44","41","44","0","0","0","0","0","0","0","281","Allison","Allison Chafe","allisonchafe@nlesd.ca","NLESD - Eastern Region"
"Eastern","362","400","St. Teresa's School/École Ste-Thérèse","St. John's","100 Mundy Pond Road","St. John's, NL","A1E 1V1","A1E1V1","579-9111","579-2448","362","2016","96","85","66","83","87","75","65","0","0","0","0","0","0","0","557","Kyran","KyranDwyer","kyrandwyer@nlesd.ca","NLESD - Eastern Region"
"Eastern","363","400","Vanier Elementary","St. John's","75 Ennis Avenue","St. John's, NL","A1A 1Y7","A1A1Y7","754-2440","754-1805","363","2016","38","46","36","43","45","47","45","0","0","0","0","0","0","0","300","Tina","Tina Maloney","tinamaloney@nlesd.ca","NLESD - Eastern Region"
"Eastern","364","400","Virginia Park Elementary","St. John's","14 Middleton Street","St. John's, NL","A1A 3H9","A1A3H9","753-7924","754-2295","364","2016","26","23","29","23","18","23","24","0","0","0","0","0","0","0","166","Chris","Chris Young","chrisyoung@nlesd.ca","NLESD - Eastern Region"
"Eastern","366","400","Topsail Elementary","Conception Bay South (Topsail)","P.O. Box 13121, Stn Topsail","CBS, NL","A1W 2K1","A1W2K1","834-2968","834-6429","366","2016","94","99","109","93","90","0","0","0","0","0","0","0","0","0","485","Rosanne","Rosanne Collett","rosannecollett@nlesd.ca","NLESD - Eastern Region"
"Eastern","367","400","Holy Trinity Elementary","Torbay","10 Doyle's & Quigley's Lane","Torbay, NL","A1K 1A7","A1K1A7","437-6433","437-1134","367","2016","113","123","143","110","134","146","104","0","0","0","0","0","0","0","873","Deborah","Deborah Peddle","deborahpeddle@nlesd.ca","NLESD - Eastern Region"
"Eastern","370","400","Stella Maris Academy","Trepassey","General Delivery","Trepassey, NL","A0A 4B0","A0A4B0","438-2361","438-2442","370","2016","1","0","1","2","3","1","3","2","2","3","2","4","1","0","25","Viola","Viola Coombs","violacoombs@nlesd.ca","NLESD - Eastern Region"
"Eastern","371","400","Upper Gullies Elementary","Conception Bay South (Upper Gullies)","30 Roberts Road South","Upper Gullies, CBS, NL","A1X 6K2","A1X6K2","744-3141","744-2283","371","2016","84","77","86","75","68","70","58","0","0","0","0","0","0","0","518","Lynette","Lynette Ivany","lynetteivany@nlesd.ca","NLESD - Eastern Region"
"Eastern","372","400","St. Bernard's Elementary","Witless Bay","P.O. Box 70","Witless Bay, NL","A0A 4K0","A0A4K0","334-2222","334-2333","372","2016","45","48","57","46","63","52","48","0","0","0","0","0","0","0","359","Alun","Alun Young","alunyoung@nlesd.ca","NLESD - Eastern Region"
"Eastern","433","400","Tricon Elementary","Bay de Verde","P.O. Box 100","Bay de Verde, NL","A0A 1E0","A0A1E0","587-2550","587-2320","433","2016","12","14","20","12","13","17","20","0","0","0","0","0","0","0","108","Wendy","Wendy Clarke-Tizzard","wendyclarke-tizzard@nlesd.ca","NLESD - Eastern Region"
"Eastern","435","400","St. Anne's Academy","Dunville","P.O. Box 300","Dunville, NL","A0B 1S0","A0B1S0","227-3192","227-2069","435","2016","26","30","45","37","27","40","32","0","0","0","0","0","0","0","237","Shelly","Shelly Quilty","shellyquilty@nlesd.ca","NLESD - Eastern Region"
"Eastern","442","400","Persalvic Elementary","Victoria","P.O. Box 70","Victoria, NL","A0A 4G0","A0A4G0","596-2441","596-2598","442","2016","17","21","21","28","39","29","33","40","37","0","0","0","0","0","265","David","David Penney","davidpenney1@nlesd.ca","NLESD - Eastern Region"
"Eastern","444","400","Cabot Academy","Western Bay","P.O. Box 39","Western Bay, NL","A0A 4J0","A0A4J0","598-2270","598-2231","444","2016","18","15","16","15","20","18","10","0","0","0","0","0","0","0","112","Gerard","Gerard Murphy","gerardmurphy@nlesd.ca","NLESD - Eastern Region"
"Eastern","446","400","Whitbourne Elementary","Whitbourne","P.O. Box 8","Whitbourne, NL","A0B 3K0","A0B3K0","759-2640","759-2839","446","2016","16","16","10","13","13","12","9","0","0","0","0","0","0","0","89","Willson","Wilson Warren","wilsonwarren@nlesd.ca","NLESD - Eastern Region"
"Eastern","447","400","Baltimore  School Complex","Ferryland","General Delivery","Ferryland, NL","A0A 2H0","A0A2H0","432-2090","432-2262","447","2016","11","9","11","11","28","13","14","25","20","17","15","19","18","1","212","Darrell","Darrell Budgell","darrellbudgell@nlesd.ca","NLESD - Eastern Region"
"Eastern","468","400","Hazelwood Elementary","St. John's","391 Topsail Rd","St. John's, NL","A1E 2B7","A1E2B7","368-2123","368-7701","468","2016","70","60","66","74","89","64","96","0","0","0","0","0","0","0","519","Dale","Dale Lambe","dalelambe@nlesd.ca","NLESD - Eastern Region"
"Eastern","473","400","Cape St. Francis Elementary","Pouch Cove","P.O. Box 220","Pouch Cove, NL","A0A 3L0","A0A3L0","335-2962","335-2964","473","2016","42","41","52","53","55","47","42","0","0","0","0","0","0","0","332","Kelly","Kelly Pinsent","kellypinsent@nlesd.ca","NLESD - Eastern Region"
